plan,we,wf,wuf,wde,wcu,,,
TP-1065864,-,-,-,-,-,,,
TP-1065896,-,-,-,-,-,,,
TP-1254782,-,-,-,-,-,,,
TP-1254801,3285.702,334.612,6.380,272.163,0.000,,,we>wf>wde>wuf
TP-1254807,133.869,2065.722,0.000,0.000,948.913,,,wf>wcu>we
TP-1254829,-,-,-,-,-,,,
TP-1254832,0.000,551.768,1.338,619.890,387.915,,,wde>wf>wcu>wuf
TP-1256854,-,-,-,-,-,,,
TP-1256856,24951.373,2166.732,21.624,0.000,3134.796,,,we>wcu>wf>wuf
TP-1272733,201.711,5278.598,1.072,32.135,0.000,,,wf>we>wde>wuf
TP-1273690,0.000,19.530,0.031,5.809,34.446,,,wcu>wf>wde>wuf
TP-1304023,0.000,0.000,0.244,0.000,5471.380,,,wcu>wuf
TP-1334460,0.000,26.162,0.000,0.461,0.000,,,wf>wde
TP-1359793,-,-,-,-,-,,,
TP-1368431,899.604,0.000,0.243,207.796,671840.091,,,wcu>we>wde>wuf
TP-1369041,806.000,476.555,0.000,8.031,0.000,,,we>wf>wde
TP-1369044,0.000,2107.593,0.042,0.000,0.000,,,wf>wuf
TP-1380125,0.000,0.000,23.321,0.000,1301.067,,,wcu>wuf
TP-1380127,0.000,150216.460,28.075,1173.492,9311.861,,,wf>wcu>wde>wuf
TP-1386292,-,-,-,-,-,,,
TP-1389026,0.000,35.690,0.209,0.000,3000.387,,,wcu>wf>wuf
TP-1389211,0,3132.163614,0.25,94.06250525,0.000,,,wf>wde>wuf
TP-1401632,-,-,-,-,-,,,
TP-1408653,0.000,1974.428,1.036,121.880,239.092,,,wf>wcu>wde>wuf